,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
3271,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,never,26,Job-Seekers
3274,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Public Sector,1,5,Job-Seekers
3275,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,1,3,Non Job-Seekers
3276,0.915,Male,No relevent experience,Full time course,High School,No Major,4,Missing,Missing,1,192,Non Job-Seekers
3277,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,7,Missing,Missing,2,53,Non Job-Seekers
3278,0.743,Unspecified,Has relevent experience,Full time course,Masters,STEM,2,50-99,Pvt Ltd,1,4,Non Job-Seekers
3279,0.7759999999999999,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,8,500-999,Pvt Ltd,never,101,Non Job-Seekers
3280,0.743,Unspecified,No relevent experience,no_enrollment,Masters,Humanities,2,Missing,Missing,1,198,Job-Seekers
3281,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,>4,66,Job-Seekers
3282,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,2,224,Job-Seekers
3283,0.83,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10/49,Pvt Ltd,1,45,Non Job-Seekers
3284,0.884,Male,No relevent experience,no_enrollment,Masters,STEM,1,Missing,Missing,1,206,Non Job-Seekers
3285,0.624,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,264,Non Job-Seekers
3287,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,Missing,Missing,>4,48,Job-Seekers
3288,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,2,66,Non Job-Seekers
3290,0.855,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,2,35,Non Job-Seekers
3291,0.893,Unspecified,No relevent experience,Full time course,Primary School,No Major,3,Missing,Missing,1,22,Non Job-Seekers
3292,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,1,22,Job-Seekers
3293,0.68,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,1,21,Non Job-Seekers
3294,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,8,50-99,Funded Startup,1,89,Non Job-Seekers
3295,0.624,Unspecified,No relevent experience,Part time course,Graduate,STEM,7,5000-9999,Pvt Ltd,2,109,Non Job-Seekers
3296,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,>4,91,Job-Seekers
3297,0.92,Female,No relevent experience,Full time course,Graduate,STEM,3,500-999,Pvt Ltd,2,61,Non Job-Seekers
3298,0.91,Male,Has relevent experience,Full time course,Graduate,STEM,>20,100-499,Pvt Ltd,>4,146,Non Job-Seekers
3299,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,2,202,Non Job-Seekers
3300,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,16,<10,Pvt Ltd,>4,39,Non Job-Seekers
3301,0.762,Male,No relevent experience,Part time course,High School,No Major,3,No company,No company,never,72,Non Job-Seekers
3302,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,5,<10,Funded Startup,1,60,Non Job-Seekers
3303,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,11,1000-4999,Pvt Ltd,1,134,Non Job-Seekers
3304,0.887,Male,Has relevent experience,Part time course,Masters,Humanities,9,<10,Missing,1,24,Non Job-Seekers
3305,0.898,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,500-999,Pvt Ltd,1,220,Non Job-Seekers
3306,0.893,Unspecified,Has relevent experience,Full time course,Graduate,STEM,<1,500-999,Pvt Ltd,1,50,Non Job-Seekers
3307,0.91,Male,Has relevent experience,Full time course,Graduate,STEM,6,<10,Pvt Ltd,>4,14,Non Job-Seekers
3308,0.91,Male,Has relevent experience,no_enrollment,High School,No Major,17,10000+,Pvt Ltd,1,12,Non Job-Seekers
3309,0.91,Male,No relevent experience,no_enrollment,High School,No Major,5,No company,No company,never,66,Non Job-Seekers
3310,0.939,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,Missing,Missing,2,41,Non Job-Seekers
3311,0.624,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,never,80,Job-Seekers
3312,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,NGO,>4,90,Non Job-Seekers
3313,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Public Sector,1,142,Non Job-Seekers
3314,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,1,151,Job-Seekers
3315,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Early Stage Startup,1,82,Non Job-Seekers
3316,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,>4,28,Non Job-Seekers
3317,0.762,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,18,1000-4999,Other,4,51,Non Job-Seekers
3318,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,Missing,Missing,1,59,Non Job-Seekers
3319,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Pvt Ltd,2,155,Non Job-Seekers
3320,0.794,Male,No relevent experience,no_enrollment,High School,No Major,3,Missing,Pvt Ltd,never,14,Non Job-Seekers
3321,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-499,Pvt Ltd,2,26,Non Job-Seekers
3322,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,>4,23,Job-Seekers
3323,0.6659999999999999,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,107,Non Job-Seekers
3324,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,Missing,Missing,1,40,Non Job-Seekers
3325,0.624,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,7,100-499,Pvt Ltd,>4,111,Job-Seekers
3326,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-499,Pvt Ltd,>4,59,Job-Seekers
3327,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,14,100-499,Pvt Ltd,2,17,Non Job-Seekers
3328,0.926,Unspecified,No relevent experience,Full time course,Graduate,STEM,6,10000+,Pvt Ltd,1,16,Non Job-Seekers
3329,0.923,Other,Has relevent experience,no_enrollment,Graduate,STEM,16,<10,Pvt Ltd,3,89,Non Job-Seekers
3330,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Missing,Missing,>4,48,Job-Seekers
3331,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,75,Non Job-Seekers
3332,0.855,Male,Has relevent experience,Part time course,Graduate,Business Degree,2,5000-9999,Pvt Ltd,2,42,Non Job-Seekers
3333,0.512,Female,Has relevent experience,no_enrollment,Masters,STEM,15,100-499,Pvt Ltd,>4,75,Non Job-Seekers
3334,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,42,Job-Seekers
3335,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,28,Non Job-Seekers
3336,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,Pvt Ltd,1,32,Non Job-Seekers
3337,0.92,Unspecified,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,1,224,Job-Seekers
3338,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,100-499,Pvt Ltd,1,78,Non Job-Seekers
3339,0.624,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,5,100-499,Pvt Ltd,2,86,Non Job-Seekers
3340,0.527,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Missing,Missing,1,111,Non Job-Seekers
3341,0.527,Female,No relevent experience,Part time course,Graduate,STEM,1,No company,No company,never,86,Non Job-Seekers
3343,0.895,Male,Has relevent experience,no_enrollment,Primary School,No Major,>20,Missing,Missing,3,300,Non Job-Seekers
3344,0.913,Male,Has relevent experience,no_enrollment,Graduate,Other,4,1000-4999,Pvt Ltd,2,6,Non Job-Seekers
3345,0.691,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Missing,Missing,>4,18,Non Job-Seekers
3346,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,1,38,Job-Seekers
3347,0.926,Male,Has relevent experience,no_enrollment,High School,No Major,5,1000-4999,Pvt Ltd,never,56,Non Job-Seekers
3348,0.926,Unspecified,No relevent experience,no_enrollment,Masters,STEM,11,No company,No company,never,18,Job-Seekers
3349,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-499,Pvt Ltd,3,112,Non Job-Seekers
3350,0.91,Unspecified,Has relevent experience,Full time course,Graduate,STEM,10,10000+,Pvt Ltd,2,17,Non Job-Seekers
3351,0.802,Male,Has relevent experience,no_enrollment,Graduate,Other,10,100-499,Pvt Ltd,2,27,Non Job-Seekers
3352,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,Public Sector,>4,39,Non Job-Seekers
3353,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,9,<10,Funded Startup,3,24,Non Job-Seekers
3354,0.836,Male,Has relevent experience,Part time course,Graduate,STEM,19,100-499,Public Sector,1,4,Non Job-Seekers
3356,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,3,136,Non Job-Seekers
3357,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,9,1000-4999,Pvt Ltd,2,73,Non Job-Seekers
3358,0.91,Male,No relevent experience,Full time course,High School,No Major,5,Missing,Missing,1,34,Job-Seekers
3359,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,2,42,Non Job-Seekers
3361,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,9,Missing,Missing,2,11,Non Job-Seekers
3363,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,15,100-499,Funded Startup,>4,102,Non Job-Seekers
3364,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,No company,No company,never,53,Job-Seekers
3365,0.887,Unspecified,No relevent experience,Part time course,Graduate,STEM,5,<10,Pvt Ltd,3,20,Non Job-Seekers
3366,0.92,Unspecified,No relevent experience,Part time course,Graduate,STEM,15,Missing,Missing,2,20,Non Job-Seekers
3367,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6,Missing,Missing,1,47,Non Job-Seekers
3368,0.804,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,1,102,Job-Seekers
3369,0.624,Male,No relevent experience,no_enrollment,High School,No Major,5,No company,No company,never,178,Non Job-Seekers
3370,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,12,Missing,Missing,1,1,Job-Seekers
3371,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,>4,6,Job-Seekers
3372,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,>4,166,Job-Seekers
3373,0.855,Male,Has relevent experience,Full time course,Masters,STEM,8,100-499,Pvt Ltd,>4,204,Non Job-Seekers
3374,0.6659999999999999,Male,Has relevent experience,Full time course,Masters,STEM,>20,<10,Pvt Ltd,never,98,Non Job-Seekers
3375,0.7659999999999999,Unspecified,No relevent experience,Part time course,Graduate,STEM,4,10/49,Pvt Ltd,1,9,Non Job-Seekers
3376,0.5579999999999999,Male,No relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,1,67,Job-Seekers
3377,0.92,Female,Has relevent experience,Part time course,Graduate,STEM,8,10000+,Pvt Ltd,1,43,Non Job-Seekers
3378,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,12,500-999,Missing,1,11,Non Job-Seekers
3379,0.92,Male,No relevent experience,no_enrollment,Primary School,No Major,7,Missing,Pvt Ltd,never,28,Non Job-Seekers
3380,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,39,Non Job-Seekers
3381,0.92,Male,No relevent experience,no_enrollment,Primary School,No Major,9,No company,No company,never,42,Non Job-Seekers
3382,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,2,17,Non Job-Seekers
3383,0.698,Male,No relevent experience,Full time course,Graduate,STEM,1,No company,No company,never,12,Job-Seekers
3384,0.8959999999999999,Male,No relevent experience,Full time course,High School,No Major,2,No company,No company,never,54,Non Job-Seekers
3385,0.924,Male,No relevent experience,Full time course,High School,No Major,3,50-99,Funded Startup,1,17,Non Job-Seekers
3386,0.897,Male,No relevent experience,Full time course,Graduate,STEM,3,Missing,Public Sector,never,26,Non Job-Seekers
3387,0.624,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,1,500-999,Pvt Ltd,1,10,Job-Seekers
3388,0.64,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,1,148,Non Job-Seekers
3389,0.887,Unspecified,Has relevent experience,no_enrollment,High School,No Major,9,50-99,Pvt Ltd,never,5,Non Job-Seekers
3390,0.884,Unspecified,No relevent experience,Part time course,Graduate,STEM,15,Missing,Missing,1,13,Job-Seekers
3391,0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,10/49,Early Stage Startup,1,151,Non Job-Seekers
3392,0.92,Male,No relevent experience,Full time course,Graduate,STEM,<1,Missing,Pvt Ltd,never,15,Job-Seekers
3393,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Missing,3,35,Non Job-Seekers
3394,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,Funded Startup,>4,130,Non Job-Seekers
3395,0.624,Male,No relevent experience,Full time course,High School,No Major,5,No company,No company,never,46,Job-Seekers
3396,0.856,Male,No relevent experience,no_enrollment,Masters,STEM,9,100-499,Pvt Ltd,1,119,Non Job-Seekers
3397,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,2,43,Non Job-Seekers
3399,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10/49,Funded Startup,4,21,Non Job-Seekers
3400,0.698,Male,Has relevent experience,Part time course,Graduate,STEM,5,<10,Early Stage Startup,2,238,Non Job-Seekers
3401,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Funded Startup,1,21,Non Job-Seekers
3402,0.926,Male,No relevent experience,no_enrollment,High School,No Major,1,<10,NGO,never,53,Non Job-Seekers
3403,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Public Sector,2,38,Job-Seekers
3404,0.92,Unspecified,No relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,>4,32,Non Job-Seekers
3405,0.92,Unspecified,No relevent experience,Full time course,Graduate,STEM,4,No company,No company,never,38,Job-Seekers
3406,0.897,Male,No relevent experience,Part time course,Masters,STEM,4,1000-4999,Missing,1,17,Non Job-Seekers
3407,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,20,Non Job-Seekers
3408,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,17,<10,Pvt Ltd,>4,81,Non Job-Seekers
3409,0.624,Male,Has relevent experience,Full time course,Masters,STEM,7,10000+,Public Sector,1,82,Job-Seekers
3410,0.92,Male,No relevent experience,Full time course,Graduate,STEM,3,No company,No company,never,54,Job-Seekers
3411,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10/49,Pvt Ltd,2,170,Non Job-Seekers
3412,0.92,Unspecified,No relevent experience,no_enrollment,Primary School,No Major,3,No company,No company,never,7,Non Job-Seekers
3413,0.884,Male,No relevent experience,Full time course,High School,No Major,8,Missing,Missing,1,113,Non Job-Seekers
3414,0.855,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,4,10/49,Early Stage Startup,1,39,Non Job-Seekers
3415,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,Pvt Ltd,>4,36,Non Job-Seekers
3416,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,25,Non Job-Seekers
3417,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Missing,2,14,Job-Seekers
3418,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-499,Missing,4,40,Non Job-Seekers
3419,0.794,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,4,15,Non Job-Seekers
3420,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,57,Non Job-Seekers
3421,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,5,50-99,Funded Startup,1,129,Non Job-Seekers
3422,0.878,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-499,Pvt Ltd,>4,98,Non Job-Seekers
3423,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,2,11,Job-Seekers
3424,0.579,Male,No relevent experience,Full time course,High School,No Major,2,No company,No company,never,158,Non Job-Seekers
3425,0.855,Male,No relevent experience,no_enrollment,Masters,STEM,>20,10/49,Funded Startup,>4,78,Non Job-Seekers
3426,0.924,Female,No relevent experience,Part time course,Graduate,STEM,19,10000+,Pvt Ltd,4,81,Non Job-Seekers
3427,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-499,Funded Startup,1,11,Job-Seekers
3429,0.624,Male,Has relevent experience,no_enrollment,Graduate,Other,10,10000+,Pvt Ltd,4,45,Job-Seekers
3430,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,6,Non Job-Seekers
3431,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,<1,<10,Early Stage Startup,1,5,Job-Seekers
3433,0.92,Male,No relevent experience,Full time course,High School,No Major,10,Missing,Missing,1,32,Job-Seekers
3434,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,15,Missing,Missing,1,46,Job-Seekers
3435,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,never,43,Job-Seekers
3436,0.939,Male,Has relevent experience,no_enrollment,High School,No Major,>20,10/49,Pvt Ltd,never,69,Non Job-Seekers
3437,0.804,Male,Has relevent experience,no_enrollment,High School,No Major,12,Missing,Pvt Ltd,1,20,Non Job-Seekers
3438,0.767,Male,Has relevent experience,Part time course,Graduate,STEM,7,10/49,Missing,1,99,Non Job-Seekers
3441,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,15,Job-Seekers
3442,0.926,Unspecified,No relevent experience,Full time course,High School,No Major,9,Missing,Missing,1,48,Non Job-Seekers
3443,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,74,Job-Seekers
3444,0.887,Male,Has relevent experience,Full time course,High School,No Major,10,Missing,Missing,1,78,Non Job-Seekers
3445,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,100-499,Early Stage Startup,2,44,Non Job-Seekers
3446,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,1,114,Non Job-Seekers
3447,0.6659999999999999,Male,Has relevent experience,no_enrollment,High School,No Major,19,<10,Pvt Ltd,1,26,Non Job-Seekers
3448,0.8270000000000001,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Missing,1,56,Non Job-Seekers
3449,0.926,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,never,62,Job-Seekers
3450,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-499,Funded Startup,2,106,Non Job-Seekers
3451,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Missing,Missing,1,67,Non Job-Seekers
3452,0.527,Unspecified,No relevent experience,no_enrollment,High School,No Major,3,No company,No company,never,34,Non Job-Seekers
3453,0.91,Male,No relevent experience,no_enrollment,High School,No Major,9,No company,No company,never,37,Non Job-Seekers
3454,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,161,Non Job-Seekers
3455,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Funded Startup,1,30,Non Job-Seekers
3457,0.92,Unspecified,No relevent experience,no_enrollment,Masters,STEM,4,10000+,Pvt Ltd,1,100,Non Job-Seekers
3458,0.6659999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,never,22,Non Job-Seekers
3459,0.926,Male,Has relevent experience,no_enrollment,Masters,No Major,19,10000+,Pvt Ltd,never,18,Non Job-Seekers
3460,0.843,Male,No relevent experience,Full time course,Graduate,STEM,2,No company,No company,never,23,Non Job-Seekers
3461,0.893,Unspecified,Has relevent experience,Part time course,Graduate,STEM,11,Missing,Missing,1,52,Non Job-Seekers
3463,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,9,100-499,Pvt Ltd,>4,80,Non Job-Seekers
3464,0.6890000000000001,Unspecified,No relevent experience,no_enrollment,Graduate,STEM,3,10/49,Funded Startup,3,84,Non Job-Seekers
3465,0.884,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Funded Startup,2,64,Non Job-Seekers
3466,0.516,Unspecified,Has relevent experience,Full time course,Graduate,STEM,3,500-999,Pvt Ltd,1,32,Non Job-Seekers
3467,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Missing,Missing,1,15,Job-Seekers
3468,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,Business Degree,2,Missing,Missing,1,42,Job-Seekers
3470,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,Missing,Missing,2,96,Job-Seekers
3471,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,4,31,Non Job-Seekers
3472,0.479,Unspecified,Has relevent experience,Full time course,Phd,STEM,>20,10000+,Pvt Ltd,>4,44,Non Job-Seekers
3473,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,Arts,>20,Missing,Missing,>4,157,Non Job-Seekers
3474,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,4,23,Non Job-Seekers
3475,0.74,Male,Has relevent experience,Part time course,Graduate,STEM,14,Missing,Pvt Ltd,>4,12,Non Job-Seekers
3476,0.939,Male,No relevent experience,no_enrollment,Primary School,No Major,3,No company,No company,never,52,Non Job-Seekers
3477,0.899,Male,Has relevent experience,Part time course,Graduate,STEM,8,10/49,Early Stage Startup,1,19,Non Job-Seekers
3478,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,25,Job-Seekers
3479,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,1,7,Non Job-Seekers
3480,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,3,81,Non Job-Seekers
3481,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,4,105,Non Job-Seekers
3482,0.6659999999999999,Male,No relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,1,18,Non Job-Seekers
3483,0.897,Male,Has relevent experience,no_enrollment,Masters,Other,>20,<10,Early Stage Startup,2,28,Non Job-Seekers
3484,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,Funded Startup,3,12,Non Job-Seekers
3486,0.802,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,never,64,Non Job-Seekers
3487,0.8959999999999999,Male,No relevent experience,no_enrollment,Primary School,No Major,7,No company,No company,never,50,Non Job-Seekers
3489,0.92,Female,No relevent experience,Full time course,Graduate,STEM,10,Missing,Public Sector,>4,112,Job-Seekers
3490,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,44,Non Job-Seekers
3491,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,3,28,Non Job-Seekers
3492,0.92,Male,No relevent experience,no_enrollment,Primary School,No Major,3,No company,No company,never,15,Non Job-Seekers
3493,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,1,88,Non Job-Seekers
3495,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,56,Non Job-Seekers
3496,0.924,Male,No relevent experience,no_enrollment,Primary School,No Major,3,No company,No company,never,314,Non Job-Seekers
3497,0.763,Male,No relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,1,44,Non Job-Seekers
3498,0.6659999999999999,Male,No relevent experience,no_enrollment,Primary School,No Major,<1,No company,No company,never,7,Non Job-Seekers
3499,0.579,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,7,100-499,Pvt Ltd,1,9,Non Job-Seekers
3500,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,>20,Missing,Missing,>4,88,Job-Seekers
3501,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Early Stage Startup,1,105,Non Job-Seekers
3503,0.92,Other,No relevent experience,no_enrollment,Masters,STEM,4,100-499,Pvt Ltd,2,29,Non Job-Seekers
3504,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,1,50,Non Job-Seekers
3505,0.893,Male,Has relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,1,20,Non Job-Seekers
3506,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,16,100-499,NGO,1,114,Non Job-Seekers
3507,0.855,Female,No relevent experience,Full time course,Masters,STEM,10,Missing,NGO,3,98,Non Job-Seekers
3508,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,2,94,Job-Seekers
3509,0.897,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,never,83,Non Job-Seekers
3510,0.624,Male,No relevent experience,Full time course,Masters,STEM,1,500-999,Pvt Ltd,1,218,Non Job-Seekers
3511,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Missing,Missing,1,34,Job-Seekers
3512,0.924,Male,No relevent experience,Full time course,Graduate,STEM,4,Missing,Missing,1,50,Job-Seekers
3513,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,11,Non Job-Seekers
3514,0.55,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,32,Job-Seekers
3516,0.913,Male,Has relevent experience,no_enrollment,High School,No Major,14,<10,Pvt Ltd,>4,14,Non Job-Seekers
3517,0.939,Male,Has relevent experience,Part time course,Masters,No Major,>20,Missing,Missing,>4,80,Non Job-Seekers
3518,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Missing,Missing,1,328,Non Job-Seekers
3519,0.743,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,>4,7,Non Job-Seekers
3520,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6,Missing,Public Sector,2,52,Job-Seekers
3521,0.8270000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,3,100-499,Pvt Ltd,2,38,Non Job-Seekers
